SKU-1,Product Category,Product Type
BST169,Khác,BST
BST219,Khác,BST
BST279,Khác,BST
CSA1454,Áo sơ mi,Công sở
CSA1605,Áo khoác,Công sở
CSA1915,Áo sơ mi,Công sở
CSD1645,Đầm Ngắn,Công sở
CSV1888,Chân váy dài,Công sở
D1214,Đầm,Tiệc
D1219,Đầm,Tiệc
D1224,Đầm Dài,Tiệc
D1245,Đầm Ngắn,Tiệc
D1293,Đầm,Tiệc
D1315S,Đầm,Công sở
D1366,Đầm,Tiệc
D1398,Đầm Dài,Tiệc
D1449,Đầm Dài,Tiệc
D1541,Đầm Ngắn,Tiệc
D1650,Đầm,Tiệc
D1694,Đầm,Tiệc
D1726,Đầm Dài,Tiệc
D1745,Đầm,Tiệc
D1749,Đầm,Tiệc
D1810,Đầm Dài,Tiệc
D1891,Đầm,Tiệc
D1909,Đầm,Tiệc
D1978S,Đầm Dài,Tiệc
D1979,Đầm Dài,Tiệc
D2013,Đầm Dài,Tiệc
D2032,Đầm,Tiệc
D2033,Đầm,Tiệc
D2050,Đầm Ngắn,Tiệc
D2053,Đầm,Tiệc
D2059,Đầm Dài,Tiệc
D2089,Đầm,Tiệc
D2101,Đầm,Tiệc
D2108,Đầm,Tiệc
D2112,Đầm,Tiệc
D2121,Đầm,Tiệc
D2132,Đầm,Tiệc
D2136,Đầm,Tiệc
D2137,Đầm,Tiệc
D2138,Đầm,Tiệc
D2157,Đầm,Tiệc
D2162,Đầm Dài,Tiệc
D2164,Đầm,Tiệc
D2169,Đầm,Tiệc
D2184,Đầm,Tiệc
D2187,Đầm,Tiệc
D2190,Đầm,Tiệc
D2198,Đầm,Tiệc
D2199,Đầm,Tiệc
D2216,Đầm Dài,Tiệc
D2217,Đầm,Tiệc
D2219,Đầm,Tiệc
D2222,Đầm,Tiệc
D2233,Đầm,Tiệc
D2237,Đầm,Tiệc
D2244,Đầm,Tiệc
D2255,Đầm,Công sở
D2265,Đầm,Tiệc
D2269,Đầm,Công sở
D2277,Đầm,Tiệc
D2278,Đầm,Tiệc
D2289,Đầm,Tiệc
D2305,Đầm Dài,Tiệc
D2306,Đầm,Công sở
D2308,Đầm,Tiệc
D2309,Đầm,Công sở
D2310,Đầm,Tiệc
D2332,Đầm,Tiệc
D2334,Đầm,Tiệc
D2337,Đầm,Tiệc
D2347,Đầm,Tiệc
D2353,Đầm,Công sở
D2357,Đầm,Tiệc
D2363,Đầm,Công sở
D2370,Đầm,Tiệc
D2376,Đầm,Tiệc
D2380,Đầm,Tiệc
D2386,Đầm,Tiệc
D2390,Đầm,Tiệc
D2400,Đầm,Tiệc
D2404,Đầm,Tiệc/ Công sở
D2405,Đầm,Tiệc
D2408,Đầm,Tiệc
D2417,Đầm,Tiệc
D2421,Đầm,Tiệc
D2441,Đầm,Tiệc
D2467,Đầm,Tiệc
D2478,Đầm,Tiệc
D2489,Đầm,Tiệc
D2508,Đầm,Tiệc
D2563,Đầm,Tiệc
D2567,Đầm,Công sở
D2573,Đầm,Tiệc
D2577,Đầm,Tiệc
D2592,Đầm,Tiệc
D2593,Đầm,Tiệc
D2600,Đầm,Tiệc
D2603,Đầm,Tiệc
D2606,Đầm,Tiệc
D2608,Đầm,Tiệc
D2618,Đầm,Tiệc
D2625,Đầm,Tiệc
D2626,Đầm,Tiệc
D2632,Đầm,Tiệc
D2633,Đầm,Tiệc
D2661,Đầm,Tiệc/ Công sở
D2666,Đầm,Tiệc
D2681,Đầm,Tiệc
D2683,Đầm,Tiệc
D2696,Đầm,Tiệc
D2697,Đầm,Tiệc
D2706,Đầm,Tiệc
D2711,Đầm,Tiệc
D2714,Đầm,Tiệc
D2740,Đầm,Tiệc
D2764,Đầm,Tiệc/ Công sở
D2765,Đầm,Tiệc
D2766,Đầm,Tiệc
D2771,Đầm,Tiệc
D2772,Đầm,Tiệc
D2773,Đầm,Tiệc
D2775,Đầm,Tiệc
D2782,Đầm,Tiệc
D2783,Đầm,Tiệc
D2789,Đầm,Tiệc
D2809,Đầm,Tiệc
D2811,Đầm,Tiệc
D2812,Đầm,Tiệc
D2814,Đầm,Tiệc
D2815,Đầm,Tiệc
D2821,Đầm,Tiệc
